Tráfico aéreo comercial. Movimiento de aeronaves;;;;;;;;
;;;;;;;;
Titular de los derechos:;Instituto Canario de Estadística (ISTAC);;;;;;;
;;;;;;;;
;;;;;;;;
;Canarias;Lanzarote;Fuerteventura;Gran Canaria;Tenerife;La Gomera;La Palma;El Hierro
;Dato;Dato;Dato;Dato;Dato;Dato;Dato;Dato
2021 Enero;12076;1512;1445;3923;4035;144;753;264
2020;204268;28294;23660;63064;70855;1553;13002;3840
2020 Diciembre;17687;2565;2026;5364;6055;138;1181;358
2020 Noviembre;15397;2146;1785;4729;5114;140;1117;366
2020 Octubre;16293;2388;1853;4847;5570;142;1123;370
2020 Septiembre;18056;2548;2142;5335;6124;246;1257;404
2020 Agosto;23800;3560;3018;6748;8055;245;1672;502
2020 Julio;18255;2569;2179;5551;6148;248;1169;391
2020 Junio;5867;622;542;1991;2021;64;450;177
2020 Mayo;2825;264;230;1167;882;64;188;94
2020 Abril;2131;153;173;845;744;64;134;82
2020 Marzo;21339;2960;2527;6794;7589;96;1095;278
2020 Febrero;30508;4168;3605;9473;10975;110;1789;388
2020 Enero;32110;4351;3580;10220;11578;124;1827;430
2019;394596;58193;46080;121598;139950;1818;21947;5010
2019 Diciembre;34419;4839;3844;10922;12347;128;1871;468
2019 Noviembre;33181;4593;3787;10488;11945;110;1792;466
2019 Octubre;32682;4792;3933;10059;11683;123;1704;388
2019 Septiembre;31379;4881;3831;9398;10990;240;1647;392
2019 Agosto;33670;5233;4163;9905;11780;248;1859;482
2019 Julio;33274;5085;4052;9808;11670;244;1951;464
2019 Junio;30629;4643;3593;9135;10948;120;1772;418
2019 Mayo;30605;4591;3520;9191;10987;124;1820;372
2019 Abril;33077;4947;3924;10214;11623;119;1880;370
2019 Marzo;35993;5260;4036;11470;12650;124;2069;384
2019 Febrero;31067;4425;3468;9968;11040;114;1664;388
2019 Enero;34620;4904;3929;11040;12287;124;1918;418
2018;399000;58709;50178;125560;136825;1622;21320;4786
2018 Diciembre;35932;5060;4154;11589;12670;120;1925;414
2018 Noviembre;34899;4991;4092;11221;12203;116;1902;374
2018 Octubre;34358;5020;4317;10801;11850;130;1826;414
2018 Septiembre;32061;4844;4107;9736;10967;242;1753;412
2018 Agosto;34413;5246;4536;10406;11649;248;1888;440
2018 Julio;33721;5146;4456;10185;11522;124;1872;416
2018 Junio;31251;4797;4051;9540;10607;122;1750;384
2018 Mayo;31059;4589;3932;9496;10652;126;1864;400
2018 Abril;32781;4773;4169;10288;11220;110;1821;400
2018 Marzo;34999;5144;4413;11403;11881;102;1678;378
2018 Febrero;30418;4394;3814;9977;10327;84;1476;346
2018 Enero;33108;4705;4137;10918;11277;98;1565;408
2017;365690;57023;46877;113524;125740;1428;17184;3914
2017 Diciembre;35130;5100;4338;11495;12018;118;1669;392
2017 Noviembre;34145;5008;4178;11255;11646;120;1562;376
2017 Octubre;32306;5084;4250;10117;10964;122;1421;348
2017 Septiembre;29312;4685;3913;8622;10178;120;1418;376
2017 Agosto;30922;5278;4239;8995;10490;126;1422;372
2017 Julio;30350;5081;4160;8964;10257;124;1402;362
2017 Junio;27234;4435;3510;8057;9546;116;1258;312
2017 Mayo;27170;4331;3584;8059;9443;122;1351;280
2017 Abril;30297;4809;3938;9266;10495;118;1393;278
2017 Marzo;30873;4627;3767;9927;10688;120;1468;276
2017 Febrero;27711;4116;3310;8938;9603;104;1392;248
2017 Enero;30240;4469;3690;9829;10412;118;1428;294
2016;339690;52520;44174;106749;115489;1378;15957;3423
2016 Diciembre;30855;4665;3822;9977;10600;108;1395;288
2016 Noviembre;29439;4428;3647;9629;9975;118;1362;280
2016 Octubre;29016;4547;3855;8960;9924;122;1322;286
2016 Septiembre;26857;4431;3652;7928;9120;116;1294;316
2016 Agosto;29625;4911;4205;8757;9904;124;1398;326
2016 Julio;28752;4754;3986;8616;9565;124;1387;320
2016 Junio;26152;4239;3451;7946;8860;118;1270;268
2016 Mayo;26261;4142;3457;7966;8937;118;1371;270
2016 Abril;28082;4234;3745;8921;9475;108;1331;268
2016 Marzo;29884;4426;3731;9857;10152;106;1344;268
2016 Febrero;26688;3774;3241;8809;9242;92;1270;260
2016 Enero;28079;3969;3382;9383;9735;124;1213;273
2015;306254;48182;38326;94704;105053;1420;15182;3387
2015 Diciembre;27851;3972;3309;9234;9692;124;1247;273
2015 Noviembre;26779;3884;3184;8883;9232;116;1212;268
2015 Octubre;26356;4195;3427;8187;8931;118;1220;278
2015 Septiembre;23312;3845;3049;6733;8062;120;1197;306
2015 Agosto;26416;4599;3780;7369;8914;122;1314;318
2015 Julio;25644;4249;3373;7389;8624;120;1575;314
2015 Junio;22967;3945;2960;6623;7833;118;1220;268
2015 Mayo;23613;4000;3035;6837;8077;122;1270;272
2015 Abril;25450;4054;3075;7932;8727;124;1256;282
2015 Marzo;26912;4065;3106;8693;9377;120;1271;280
2015 Febrero;24403;3529;2884;8004;8414;94;1214;264
2015 Enero;26551;3845;3144;8820;9170;122;1186;264
2014;309104;47445;38991;97325;106371;1390;14334;3248
2014 Diciembre;27147;3912;3183;8902;9454;120;1310;266
2014 Noviembre;26151;3837;3090;8748;8976;102;1164;234
2014 Octubre;26350;4058;3393;8192;9124;122;1189;272
2014 Septiembre;24120;3782;3294;6984;8384;120;1246;310
2014 Agosto;27160;4653;3970;7666;9104;124;1321;322
2014 Julio;26199;4355;3645;7688;8825;120;1252;314
2014 Junio;23576;3871;3086;7087;8027;120;1135;250
2014 Mayo;23946;3763;3212;7135;8259;122;1191;264
2014 Abril;26746;4125;3299;8515;9215;118;1218;256
2014 Marzo;27576;3995;3189;9300;9515;112;1203;262
2014 Febrero;23865;3393;2677;8151;8315;102;987;240
2014 Enero;26268;3701;2953;8957;9173;108;1118;258
2013;283906;42114;34494;91287;98838;1374;12363;3436
2013 Diciembre;27184;3933;3069;9131;9559;104;1118;270
2013 Noviembre;26519;3791;3061;8998;9231;110;1072;256
2013 Octubre;24672;3732;3138;8012;8388;116;1020;266
2013 Septiembre;21682;3431;2807;6669;7381;118;984;292
2013 Agosto;23947;4034;3317;7006;8064;126;1100;300
2013 Julio;23659;3711;3076;7233;8101;124;1074;340
2013 Junio;21054;3317;2665;6406;7313;118;947;288
2013 Mayo;21319;3271;2672;6495;7450;124;1005;302
2013 Abril;22952;3371;2765;7284;8156;110;978;288
2013 Marzo;25622;3547;2960;8625;9038;112;1070;270
2013 Febrero;21885;2860;2397;7389;7841;100;1026;272
2013 Enero;23411;3116;2567;8039;8316;112;969;292
2012;301041;42885;36784;95994;104504;1282;15948;3644
2012 Diciembre;24473;3268;2706;8244;8730;114;1123;288
2012 Noviembre;23170;3042;2604;7898;8220;88;1038;280
2012 Octubre;23936;3451;2970;7574;8472;124;1085;260
2012 Septiembre;23339;3564;3023;7111;7968;120;1247;306
2012 Agosto;25173;3953;3313;7568;8515;126;1378;320
2012 Julio;25202;3920;3185;7773;8491;124;1373;336
2012 Junio;23072;3374;2893;7109;7983;120;1307;286
2012 Mayo;23113;3413;2892;7094;8021;78;1327;288
2012 Abril;26013;3736;3279;8124;9158;58;1374;284
2012 Marzo;29133;3881;3535;9570;10054;108;1651;334
2012 Febrero;26138;3516;3089;8588;8983;98;1536;328
2012 Enero;28279;3767;3295;9341;9909;124;1509;334
2011;334938;47785;43306;106234;113442;1447;18812;3912
2011 Diciembre;29405;3893;3432;9835;10191;126;1588;340
2011 Noviembre;28817;3801;3430;9541;9973;118;1620;334
2011 Octubre;29149;4052;3835;9192;9994;126;1604;346
2011 Septiembre;26992;4088;3691;8143;9033;120;1571;346
2011 Agosto;29219;4516;4278;8760;9441;128;1746;350
2011 Julio;28393;4379;3935;8583;9410;122;1608;356
2011 Junio;25468;3769;3359;7886;8534;121;1471;328
2011 Mayo;26048;3836;3427;8110;8691;122;1518;344
2011 Abril;29366;4274;3860;9153;10072;116;1579;312
2011 Marzo;29895;4026;3717;9750;10274;124;1704;300
2011 Febrero;25613;3481;3200;8482;8704;108;1366;272
2011 Enero;26573;3670;3142;8799;9125;116;1437;284
2010;308376;44512;37861;97493;105397;1374;18028;3711
2010 Diciembre;26005;3545;3108;8657;8952;108;1341;294
2010 Noviembre;26009;3540;3180;8564;8935;110;1410;270
2010 Octubre;26552;3843;3314;8218;9172;126;1549;330
2010 Septiembre;24384;3798;3248;7325;8092;116;1489;316
2010 Agosto;26973;4413;3862;7844;8733;120;1673;328
2010 Julio;26808;4161;3534;7949;8862;122;1853;327
2010 Junio;24550;3656;3006;7550;8366;120;1528;324
2010 Mayo;24919;3796;3010;7750;8383;122;1528;330
2010 Abril;25147;3486;3072;7906;8795;108;1478;302
2010 Marzo;27532;3652;3147;9054;9660;114;1579;326
2010 Febrero;23118;3152;2603;7843;8076;86;1116;242
2010 Enero;26379;3470;2777;8833;9371;122;1484;322
2009;300311;40840;34829;95818;104995;1612;18305;3912
2009 Diciembre;26543;3631;2888;8927;9370;104;1339;284
2009 Noviembre;26572;3551;2895;8805;9370;120;1511;320
2009 Octubre;25140;3329;2895;7980;8970;122;1516;328
2009 Septiembre;23068;3231;2807;7029;8025;120;1534;322
2009 Agosto;26467;3960;3507;7800;9013;124;1727;336
2009 Julio;25038;3609;3030;7576;8687;124;1630;382
2009 Junio;22073;3004;2605;6761;7818;120;1445;320
2009 Mayo;22640;3007;2689;7078;7930;124;1482;330
2009 Abril;25766;3470;2988;8264;8992;114;1600;338
2009 Marzo;26540;3482;2955;8669;9404;125;1569;336
2009 Febrero;23669;3077;2514;7923;8260;195;1414;286
2009 Enero;26795;3489;3056;9006;9156;220;1538;330
2008;347979;50520;42077;109414;119624;2868;19315;4161
2008 Diciembre;27930;3579;3254;9261;9692;206;1612;326
2008 Noviembre;27795;3673;3254;9273;9483;224;1543;345
2008 Octubre;27595;3871;3335;8927;9311;246;1553;352
2008 Septiembre;27340;4140;3481;8273;9264;240;1596;346
2008 Agosto;31979;5069;4287;9343;10840;248;1826;366
2008 Julio;29921;4606;3902;8968;10046;248;1785;366
2008 Junio;27294;4178;3464;8348;9162;242;1550;350
2008 Mayo;27781;4201;3396;8618;9396;250;1562;358
2008 Abril;29479;4224;3482;9228;10483;242;1472;348
2008 Marzo;32723;4695;3807;10412;11484;250;1699;376
2008 Febrero;28369;4027;3096;9137;10055;230;1520;304
2008 Enero;29773;4257;3319;9626;10408;242;1597;324
2007;347482;50612;42256;107378;120644;2898;19422;4272
2007 Diciembre;31340;4388;3664;10161;10896;246;1617;368
2007 Noviembre;29555;4146;3353;9572;10310;242;1564;368
2007 Octubre;29162;4136;3637;8942;10251;244;1600;352
2007 Septiembre;28158;4424;3580;8398;9480;242;1664;370
2007 Agosto;31496;5068;4255;9091;10696;250;1748;388
2007 Julio;29818;4692;3837;8923;9998;248;1740;380
2007 Junio;25459;3752;3228;7655;8788;242;1456;338
2007 Mayo;26160;3839;3272;7956;8875;249;1607;362
2007 Abril;29478;4249;3519;9097;10370;242;1655;346
2007 Marzo;30746;4274;3585;9713;10895;231;1698;350
2007 Febrero;26865;3696;3032;8555;9570;226;1472;314
2007 Enero;29245;3948;3294;9315;10515;236;1601;336
2006;343607;47708;41170;107945;119924;2879;20105;3876
2006 Diciembre;30486;4309;3458;9656;10869;226;1628;340
2006 Noviembre;28760;4055;3311;9247;9977;236;1600;334
2006 Octubre;28948;4296;3397;8955;10151;248;1583;318
2006 Septiembre;28136;4085;3579;8381;9744;241;1766;340
2006 Agosto;31365;4925;4215;8940;10773;248;1908;356
2006 Julio;29870;4316;3944;9046;10082;248;1892;342
2006 Junio;26011;3642;3249;8018;8937;240;1615;310
2006 Mayo;26060;3447;3213;8305;8887;248;1632;328
2006 Abril;29648;3986;3480;9461;10458;238;1705;320
2006 Marzo;29655;3786;3363;9825;10451;246;1670;314
2006 Febrero;26042;3237;2873;8664;9335;220;1447;266
2006 Enero;28626;3624;3088;9447;10260;240;1659;308
2005;328261;44729;38382;104610;114442;2871;19455;3772
2005 Diciembre;28889;3756;3183;9422;10362;236;1626;304
2005 Noviembre;27174;3516;3117;9004;9522;236;1479;300
2005 Octubre;27716;3740;3292;8926;9712;248;1490;308
2005 Septiembre;27044;3981;3330;7952;9423;240;1780;338
2005 Agosto;30435;4589;4088;8771;10450;241;1946;350
2005 Julio;28987;4196;3516;8622;10027;250;2002;374
2005 Junio;24065;3295;2887;7611;8208;240;1500;324
2005 Mayo;24929;3263;2898;8049;8561;246;1598;314
2005 Abril;26791;3495;3019;8682;9527;240;1540;288
2005 Marzo;28783;3873;3164;9534;10008;244;1634;326
2005 Febrero;25169;3277;2760;8555;8802;210;1319;246
2005 Enero;28279;3748;3128;9482;9840;240;1541;300
2004;314050;45254;36567;98629;109153;2897;17974;3576
2004 Diciembre;28670;3946;3098;9471;10003;244;1590;318
2004 Noviembre;26425;3514;3033;8728;9150;234;1476;290
2004 Octubre;27039;3805;3020;8696;9493;244;1477;304
2004 Septiembre;25752;4023;3086;7732;8767;240;1568;336
2004 Agosto;29429;4702;3646;8602;10163;254;1708;354
2004 Julio;26155;4186;3040;7721;9066;248;1542;352
2004 Junio;22721;3244;2801;7067;7697;244;1370;298
2004 Mayo;23320;3362;2807;7338;7821;246;1450;296
2004 Abril;26816;3839;3059;8241;9589;242;1546;300
2004 Marzo;26395;3563;3129;8571;9204;242;1438;248
